gender,partyAffiliation,partyMix,householdHead,householdRank,income,homeOwner,mailOrder,compOwner,educationLevel,donateReligion,donatePolitics,donateArts,donateAnimals,donateChild,donateHealth,donatePoverty,donateEnvironment,fec_01_02,fec_99_00,fec_97_98,fec_95_96,fec_93_94,fec_03_04,fec_05_06,dontPhone,ageD,cnt,gen90,pri90,oth90,gen91,pri91,oth91,gen92,ppp92,oth92,gen93,pri93,oth93,gen94,pri94,oth94,gen95,pri95,oth95,gen96,ppp96,oth96,gen97,pri97,oth97,gen98,pri98,oth98,gen99,pri99,oth99,gen00,ppp00,oth00,gen01,pri01,oth01,gen02,pri02,oth02,pri03,gen03,oth03,ppp04,oth04,gen04,cntEligible,percentAttended,ageY,pProb,ageC,incC,eduC,Scored Label Mean,Scored Label Standard Deviation
M,U,noneR,M,3+,D,A,1,0,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,9420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7715036112935,0.357449277351257,"(19.2,36.7]",35k-75k,primary,0.374414251631836,0.0272165781215696
F,D,allD,M,2,C,D,1,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,17513,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,7,0.241379310344828,47.9125629240534,0.928818313641845,"(45.8,54.2]",< 35k,secondary,0.940433265078985,0.0222564032368013
M,U,noneD,H,1,E,A,1,1,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,17675,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,9,0.204545454545455,48.3557671262858,0.989874566128543,"(45.8,54.2]",35k-75k,postsec,0.987447306859156,0.00923279953793768
M,U,noneRorD,H,1,A,A,1,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,13112,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.0909090909090909,35.8721820967389,0.793902432997939,"(19.2,36.7]",< 35k,secondary,0.783018931512514,0.0495662702333068
M,U,noneR,H,1,D,A,1,1,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,13170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0227272727272727,36.0308601444517,0.634353414690699,"(19.2,36.7]",35k-75k,secondary,0.62701431454772,0.0386623251097844
M,U,noneRorD,H,1,D,D,1,1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,19523,11,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,11,0.25,53.4115780258262,0.990252813968155,"(45.8,54.2]",35k-75k,primary,0.950432839397795,0.104974674600277
F,U,noneRorD,H,1,E,A,1,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,15119,17,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,17,0.386363636363636,41.3629897132852,0.949327817921896,"(36.7,45.8]",35k-75k,secondary,0.927669883593768,0.0672779441375181
F,U,noneR,M,2,E,A,1,1,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,14087,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7,0.269230769230769,38.53961479536,0.990426287147276,"(36.7,45.8]",35k-75k,postsec,0.945256222627397,0.0572343325540141
F,U,noneRorD,H,1,F,A,1,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,19945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.5660976143576,0.369415777418114,"(54.2,108]",> 75k,secondary,0.368893031166335,0.00156383660354028
M,R,noneD,H,1,E,A,1,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,12054,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,4,0.0909090909090909,32.9776756401838,0.986982802956565,"(19.2,36.7]",35k-75k,secondary,0.985629748856267,0.00784291123197213
F,U,unknown,H,1,F,A,1,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,24533,15,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,15,0.340909090909091,67.1180783541256,2.90070146547075E-12,"(54.2,108]",> 75k,secondary,2.90070146547089E-12,0.000306186217847897
M,U,unknown,H,1,C,A,1,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,17484,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0909090909090909,47.833223900197,2.90070146546971E-12,"(45.8,54.2]",< 35k,secondary,2.90070146546972E-12,0.000270030862433661
F,U,noneRorD,H,1,I,A,1,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,17548,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0.159090909090909,48.0083169183629,0.955509156093879,"(45.8,54.2]",> 75k,secondary,0.955542841283343,0.000890351571144817
F,R,allR,M,3+,E,A,1,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,7703,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0.25,21.0740862333114,0.637837266440192,"(19.2,36.7]",35k-75k,secondary,0.764652230907106,0.105150103440441
M,U,unknown,H,1,I,A,1,1,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,17673,15,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,10,0.344827586206897,48.3502954694682,2.90070146547083E-12,"(45.8,54.2]",> 75k,secondary,2.90070146547085E-12,0.000306186217847897
F,U,noneRorD,H,1,E,A,1,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,26801,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0909090909090909,73.3229371853797,0.61211609270537,"(54.2,108]",35k-75k,primary,0.623663952163008,0.0957138099896466
